Abelia ×grandiflora
Erioderma pedicellatum
Eriodictyon californicum
Eriogonum capistratum
Eriogonum cernuum
Eriogonum corymbosum
Eriogonum elatum
Eriogonum fasciculatum
Eriogonum marifolium
Eriogonum microthecum
Eriogonum niveum
Eriogonum sphaerocephalum
Eriogonum strictum
Eriogonum thymoides
Eriogonum umbellatum
Eriogonum wrightii
Eriophorum angustifolium
Eriophorum gracile
Eriophorum virginicum
Eriophorum ×rousseauanum
Erodium botrys
Erodium brachycarpum
Erysimum capitatum
Erysimum insulare
Erythrina sandwicensis
Erythrina variegata
Erythroxylum brevipes
Escallonia rubra
Eschscholzia californica
Eubotrys racemosus
Eucalyptus camaldulensis
Eucalyptus globulus
Eucalyptus grandis
Eucalyptus leucoxylon
Eucalyptus maculata
Eucalyptus robusta
Eucalyptus saligna
Eucalyptus sideroxylon
Eucephalus breweri
Eucephalus brickellioides
Eucephalus engelmannii
Eugenia rhombea
Euonymus alatus
Euonymus americanus
Euonymus atropurpureus
Euonymus bungeanus
Euonymus fortunei
Euonymus patens
Euphorbia corollata
Euphorbia crenulata
Euphorbia lucida
Eurya japonica
Eurybia glauca
Eurybia integrifolia
Eurybia macrophylla
Euthamia occidentalis
Eutrochium fistulosum
Fagopyrum esculentum
Fagopyrum tataricum
Fagus grandifolia
Fallugia paradoxa
Fellhanera bouteillei
Fendlera rupicola
Ferocactus wislizeni
Festuca arizonica
Festuca brevipila
Festuca californica
Festuca campestris
Festuca extremiorientalis
Festuca heteromalla
Festuca idahoensis
Festuca occidentalis
Festuca ovina
Festuca rubra
Festuca subulata
Festuca subverticillata
Festuca thurberi
Festuca viridula
Ficus americana
Ficus citrifolia
Ficus thonningii
Fimbristylis annua
Fimbristylis autumnalis
Fimbristylis caroliniana
Fissidens bryoides
Flacourtia indica
Flagellaria indica
Fleischmannia sonorae
Floerkea proserpinacoides
Flourensia cernua
Forestiera acuminata
Forestiera pubescens
Forsstroemia trichomitria
Forsythia suspensa
Forsythia ×intermedia
Fossombronia alaskana
Fothergilla gardenii
Fouquieria splendens
Fragaria chiloensis
Frangula alnus
Frangula betulifolia
Frangula californica
Frangula caroliniana
Frangula purshiana
Frankenia salina
Franklinia alatamaha
Fraxinus americana
Fraxinus anomala
Fraxinus caroliniana
Fraxinus latifolia
Fraxinus nigra
Fraxinus pennsylvanica
Fraxinus profunda
Fraxinus velutina
Fremontodendron californicum
Freycinetia reineckei
Fritillaria pudica
Frullania appalachiana
Frutidella caesioatra
Fumaria officinalis
Furcraea tuberosa
Gaillardia aristata
Gaillardia pulchella
Galium aparine
Galium asprellum
Galium boreale
Galium humifusum
Galium obtusum
Galium oreganum
Galium tinctorium
Galium trifidum
Garrya ovata
Garrya wrightii
Gaultheria hispidula
Gaultheria procumbens
Gaultheria shallon
Gaylussacia baccata
Gaylussacia dumosa
Gaylussacia frondosa
Gentiana andrewsii
Gentiana calycosa
Gentiana clausa
Gentianella microcalyx
Geothallus tuberosus
Geranium erianthum
Geranium oreganum
Geranium richardsonii
Geranium sibiricum
